stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
0001,,"Erin Mills Pky North Of Lincoln Green Way",,  43.535640, -79.664309,,,0,,America/Toronto,1
0002,,"Erin Mills Pky Second Stop South Of Dundas St W",,  43.534537, -79.663158,,,0,,America/Toronto,1
0004,,"Eglinton Ave W West Of East Mill Rd",,  43.579357, -79.683928,,,0,,America/Toronto,1
0009,,"The Collegeway East Of Glen Erin Dr",,  43.537213, -79.684337,,,0,,America/Toronto,1
0010,,"Explorer Dr At 5875 Explorer Dr",,  43.654270, -79.616047,,,0,,America/Toronto,0
0011,,"Mclaughlin Rd At Ceremonial Dr",,  43.599843, -79.666978,,,0,,America/Toronto,1
0012,,"Creekbank Rd North Of Tech Ave",,  43.643523, -79.615674,,,0,,America/Toronto,1
0013,,"Rodeo Dr North Of Regal Dr",,  43.613689, -79.689990,,,0,,America/Toronto,1
0014,,"Matheson Blvd At Solar Dr",,  43.652876, -79.609556,,,0,,America/Toronto,1
0019,,"Duke Of York Blvd At Rathburn Rd W",,  43.592667, -79.648591,,,0,,America/Toronto,1
0020,,"Matheson Blvd At Shuttle Dr",,  43.660649, -79.600931,,,0,,America/Toronto,1
0021,,"Matheson Blvd West Of Orbitor Dr",,  43.657301, -79.604704,,,0,,America/Toronto,1
0022,,"Tours Rd At Millers Grove",,  43.571858, -79.754791,,,0,,America/Toronto,1
0023,,"Tours Rd East Of Winston Churchill Blvd",,  43.574204, -79.751077,,,0,,America/Toronto,1
0024,,"Tours Rd At Windwood Dr",,  43.575619, -79.748769,,,0,,America/Toronto,1
0025,,"Mclaughlin Rd South Of Britannia Rd",,  43.616284, -79.689592,,,0,,America/Toronto,1
0026,,"Matheson Blvd At Whittle Rd",,  43.621181, -79.667635,,,0,,America/Toronto,1
0027,,"Matheson Blvd East Of Whittle Rd",,  43.622380, -79.663915,,,0,,America/Toronto,1
0028,,"Matheson Blvd At 267 Matheson Blvd",,  43.622725, -79.661837,,,0,,America/Toronto,1
0029,,"Matheson Blvd At Mcadam Rd",,  43.624344, -79.657884,,,0,,America/Toronto,1
0030,,"Matheson Blvd At Kennedy Rd",,  43.625802, -79.655509,,,0,,America/Toronto,1
0031,,"Matheson Blvd At Timberlea Blvd",,  43.631440, -79.644983,,,0,,America/Toronto,1
