route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,"mississauga-on-ca",1,"Dundas",,3,,D33517,FFFFFF
3,"mississauga-on-ca",3,"Bloor",,3,,D33517,FFFFFF
4,"mississauga-on-ca",4,"Sherway Gardens",,3,,D33517,FFFFFF
5,"mississauga-on-ca",5,"Dixie",,3,,D33517,FFFFFF
6,"mississauga-on-ca",6,"Credit Woodlands",,3,,D33517,FFFFFF
7,"mississauga-on-ca",7,"Airport",,3,,D33517,FFFFFF
8,"mississauga-on-ca",8,"Cawthra",,3,,D33517,FFFFFF
9,"mississauga-on-ca",9,"Rathburn-Thomas",,3,,D33517,FFFFFF
10,"mississauga-on-ca",10,"Bristol-Britannia",,3,,D33517,FFFFFF
11,"mississauga-on-ca",11,"Westwood",,3,,D33517,FFFFFF
12,"mississauga-on-ca",12,"Rexdale",,3,,D33517,FFFFFF
13,"mississauga-on-ca",13,"Glen Erin",,3,,D33517,FFFFFF
14,"mississauga-on-ca",14,"Lorne Park",,3,,D33517,FFFFFF
15,"mississauga-on-ca",15,"Drew",,3,,D33517,FFFFFF
16,"mississauga-on-ca",16,"Malton",,3,,D33517,FFFFFF
19,"mississauga-on-ca",19,"Hurontario",,3,,D33517,FFFFFF
20,"mississauga-on-ca",20,"Rathburn",,3,,D33517,FFFFFF
21,"mississauga-on-ca",21,"Explorer",,3,,D33517,FFFFFF
22,"mississauga-on-ca",22,"Finch",,3,,D33517,FFFFFF
23,"mississauga-on-ca",23,"Lakeshore",,3,,D33517,FFFFFF
24,"mississauga-on-ca",24,"Northwest",,3,,D33517,FFFFFF
25,"mississauga-on-ca",25,"Traders Loop",,3,,D33517,FFFFFF
26,"mississauga-on-ca",26,"Burnhamthorpe",,3,,D33517,FFFFFF
28,"mississauga-on-ca",28,"Confederation",,3,,D33517,FFFFFF
29,"mississauga-on-ca",29,"Park Royal-Homelands",,3,,D33517,FFFFFF
30,"mississauga-on-ca",30,"Woodbine",,3,,D33517,FFFFFF
32,"mississauga-on-ca",32,"Lisgar GO",,3,,D33517,FFFFFF
34,"mississauga-on-ca",34,"Credit Valley",,3,,D33517,FFFFFF
35,"mississauga-on-ca",35,"Eglinton",,3,,D33517,FFFFFF
36,"mississauga-on-ca",36,"Colonial-Ridgeway",,3,,D33517,FFFFFF
37,"mississauga-on-ca",37,"Creditview-Erindale GO",,3,,D33517,FFFFFF
38,"mississauga-on-ca",38,"Creditview",,3,,D33517,FFFFFF
39,"mississauga-on-ca",39,"Britannia",,3,,D33517,FFFFFF
42,"mississauga-on-ca",42,"Derry",,3,,D33517,FFFFFF
43,"mississauga-on-ca",43,"Matheson-Argentia",,3,,D33517,FFFFFF
44,"mississauga-on-ca",44,"Mississauga Road",,3,,D33517,FFFFFF
45,"mississauga-on-ca",45,"Winston Churchill",,3,,D33517,FFFFFF
46,"mississauga-on-ca",46,"Tenth Line-Osprey",,3,,D33517,FFFFFF
48,"mississauga-on-ca",48,"Erin Mills",,3,,D33517,FFFFFF
49,"mississauga-on-ca",49,"McDowell",,3,,D33517,FFFFFF
51,"mississauga-on-ca",51,"Tomken",,3,,D33517,FFFFFF
53,"mississauga-on-ca",53,"Kennedy",,3,,D33517,FFFFFF
57,"mississauga-on-ca",57,"Courtneypark",,3,,D33517,FFFFFF
61,"mississauga-on-ca",61,"Mavis",,3,,D33517,FFFFFF
64,"mississauga-on-ca",64,"Meadowvale GO",,3,,D33517,FFFFFF
66,"mississauga-on-ca",66,"McLaughlin",,3,,D33517,FFFFFF
67,"mississauga-on-ca",67,"Streetsville GO",,3,,D33517,FFFFFF
68,"mississauga-on-ca",68,"Windsor Hill Loop",,3,,D33517,FFFFFF
70,"mississauga-on-ca",70,"Keaton",,3,,D33517,FFFFFF
